,date,day,shift,coursecode,roomno,rollno,coursename
301,26-04-2025,Saturday,Morning,MA1201,107,2401CE61,Probability Theory and Ordinary Differential Equations
302,26-04-2025,Saturday,Morning,MA1201,107,2401CE62,Probability Theory and Ordinary Differential Equations
303,26-04-2025,Saturday,Morning,MA1201,107,2401CE63,Probability Theory and Ordinary Differential Equations
304,26-04-2025,Saturday,Morning,MA1201,107,2401CE64,Probability Theory and Ordinary Differential Equations
305,26-04-2025,Saturday,Morning,MA1201,107,2401CS01,Probability Theory and Ordinary Differential Equations
306,26-04-2025,Saturday,Morning,MA1201,107,2401CS02,Probability Theory and Ordinary Differential Equations
307,26-04-2025,Saturday,Morning,MA1201,107,2401CS04,Probability Theory and Ordinary Differential Equations
308,26-04-2025,Saturday,Morning,MA1201,107,2401CS05,Probability Theory and Ordinary Differential Equations
309,26-04-2025,Saturday,Morning,MA1201,107,2401CS06,Probability Theory and Ordinary Differential Equations
310,26-04-2025,Saturday,Morning,MA1201,107,2401CS07,Probability Theory and Ordinary Differential Equations
311,26-04-2025,Saturday,Morning,MA1201,107,2401CS08,Probability Theory and Ordinary Differential Equations
312,26-04-2025,Saturday,Morning,MA1201,107,2401CS09,Probability Theory and Ordinary Differential Equations
313,26-04-2025,Saturday,Morning,MA1201,107,2401CS10,Probability Theory and Ordinary Differential Equations
314,26-04-2025,Saturday,Morning,MA1201,107,2401CS11,Probability Theory and Ordinary Differential Equations
315,26-04-2025,Saturday,Morning,MA1201,107,2401CS12,Probability Theory and Ordinary Differential Equations
316,26-04-2025,Saturday,Morning,MA1201,107,2401CS13,Probability Theory and Ordinary Differential Equations
317,26-04-2025,Saturday,Morning,MA1201,107,2401CS14,Probability Theory and Ordinary Differential Equations
318,26-04-2025,Saturday,Morning,MA1201,107,2401CS15,Probability Theory and Ordinary Differential Equations
319,26-04-2025,Saturday,Morning,MA1201,107,2401CS16,Probability Theory and Ordinary Differential Equations
320,26-04-2025,Saturday,Morning,MA1201,107,2401CS17,Probability Theory and Ordinary Differential Equations
321,26-04-2025,Saturday,Morning,MA1201,107,2401CS18,Probability Theory and Ordinary Differential Equations
322,26-04-2025,Saturday,Morning,MA1201,107,2401CS19,Probability Theory and Ordinary Differential Equations
323,26-04-2025,Saturday,Morning,MA1201,107,2401CS20,Probability Theory and Ordinary Differential Equations
